"model","waic","dic","Disease"
"Baseline",461.492565138987,463.670928095999,"Plague"
"biodiv_intact",463.173582976096,465.357746967152,"Plague"
"crop_cover",455.255955315237,456.82131691361,"Plague"
"crop_expansion",458.289761808234,460.530272729933,"Plague"
"evi_dissimilarity",457.237904304243,460.222266830135,"Plague"
"forest_cover",462.862855162478,464.658735067795,"Plague"
"forest_loss",462.594611627322,464.464904946686,"Plague"
"mining",463.198693964927,465.024918294995,"Plague"
"precip_change",462.695854386432,464.258554856484,"Plague"
"protected_areas",460.923663890731,462.754023484821,"Plague"
"social_vulnerability",460.418540650108,462.660197294618,"Plague"
"tmean_change",462.770737260473,464.497374423263,"Plague"
"urban_cover",460.28035903556,462.168588439545,"Plague"
"urban_expansion",462.994641884691,464.809924193665,"Plague"
"health_travel_log",457.676911384346,459.725420216217,"Plague"
"livestock_log",461.576427857388,464.005912372069,"Plague"
"Causal (broad)",458.302792087525,459.413588228965,"Plague"
"Causal (strict)",455.144877153809,456.270677660627,"Plague"
