"model","waic","dic","Disease"
"Baseline",864.192136063543,887.706954960979,"Rift Valley Fever"
"biodiv_intact",863.89665885678,886.996110661585,"Rift Valley Fever"
"crop_cover",866.903330597725,890.512434370116,"Rift Valley Fever"
"crop_expansion",868.118469526934,891.609662404777,"Rift Valley Fever"
"evi_dissimilarity",839.289982409721,860.736919014473,"Rift Valley Fever"
"forest_cover",855.266633309062,877.444004628025,"Rift Valley Fever"
"forest_loss",861.15016324411,885.021802957493,"Rift Valley Fever"
"precip_change",852.168151382626,878.359979785751,"Rift Valley Fever"
"protected_areas",869.992698190651,892.120680788469,"Rift Valley Fever"
"social_vulnerability",823.553089277946,846.282001505867,"Rift Valley Fever"
"tmean_change",860.329625922457,884.117484882366,"Rift Valley Fever"
"urban_cover",806.960494274826,822.372267367227,"Rift Valley Fever"
"urban_expansion",834.74552311381,855.27457573029,"Rift Valley Fever"
"livestock_ruminants",867.428642854469,890.107232088847,"Rift Valley Fever"
"health_travel_log",849.060375900734,873.865894582987,"Rift Valley Fever"
"livestock_log",853.888628669304,878.718907983062,"Rift Valley Fever"
"Causal (broad)",788.548781428795,799.201488286982,"Rift Valley Fever"
"Causal (strict)",795.663652475151,809.366739503747,"Rift Valley Fever"
