"model","waic","dic","Disease"
"Baseline",1933.49289143287,1998.64109949043,"Yellow fever"
"biodiv_intact",1934.68737233262,1999.75930812542,"Yellow fever"
"crop_cover",1934.17865085769,1998.80252084584,"Yellow fever"
"crop_expansion",1935.50043675076,2000.75131971588,"Yellow fever"
"evi_dissimilarity",1866.6294302999,1924.52677311895,"Yellow fever"
"forest_cover",1904.01054396035,1969.17813921456,"Yellow fever"
"forest_loss",1935.96095641557,2001.24020129538,"Yellow fever"
"precip_change",1935.19916085168,2001.27290837664,"Yellow fever"
"protected_areas",1934.02284655413,1999.81706004061,"Yellow fever"
"social_vulnerability",1849.91040139839,1906.63301766628,"Yellow fever"
"tmean_change",1930.39653483895,1994.03745884149,"Yellow fever"
"urban_cover",1804.74489855014,1857.90522471834,"Yellow fever"
"urban_expansion",1879.27649321269,1929.58543797733,"Yellow fever"
"health_travel_log",1790.17233542459,1840.46021722087,"Yellow fever"
"livestock_log",1934.65733600652,1999.6471529526,"Yellow fever"
"Causal (broad)",1750.41872164802,1796.52131420689,"Yellow fever"
"Causal (strict)",1748.60448211943,1794.9684406157,"Yellow fever"
