"model","waic","dic","Disease"
"Baseline",570.204971534477,589.564722669388,"Influenza H5N1"
"biodiv_intact",545.539056011822,556.505458417382,"Influenza H5N1"
"crop_cover",573.049550182774,592.654258495173,"Influenza H5N1"
"crop_expansion",569.598264165101,589.01247747846,"Influenza H5N1"
"evi_dissimilarity",563.564872788756,580.809776769501,"Influenza H5N1"
"forest_cover",544.095147820491,556.944388272452,"Influenza H5N1"
"forest_loss",568.113106054925,586.266931993699,"Influenza H5N1"
"mining",573.56537734457,591.137397636992,"Influenza H5N1"
"precip_change",571.680747807766,590.255919517873,"Influenza H5N1"
"protected_areas",567.966112730755,585.87161372621,"Influenza H5N1"
"social_vulnerability",538.136834838094,549.819999707524,"Influenza H5N1"
"tmean_change",569.27039061267,587.639760373079,"Influenza H5N1"
"urban_cover",527.544525011074,538.659321885719,"Influenza H5N1"
"urban_expansion",542.586406301216,558.324010712051,"Influenza H5N1"
"health_travel_log",554.344362960775,566.777128429093,"Influenza H5N1"
"livestock_log",558.889154283903,576.081773297266,"Influenza H5N1"
"Causal (broad)",524.836881193899,533.824323782075,"Influenza H5N1"
"Causal (strict)",526.669125964825,535.859794236062,"Influenza H5N1"
