"model","waic","dic","Disease"
"Baseline",529.872187872853,556.542396789371,"Anthrax"
"biodiv_intact",531.727863448787,558.280325842469,"Anthrax"
"crop_cover",531.204325435416,558.034082271853,"Anthrax"
"crop_expansion",532.017670018484,558.374625518535,"Anthrax"
"evi_dissimilarity",509.399548269759,533.393185981755,"Anthrax"
"forest_cover",519.382540026236,544.494633018599,"Anthrax"
"forest_loss",516.935562799791,540.605914885444,"Anthrax"
"precip_change",531.311279440814,557.829507532485,"Anthrax"
"protected_areas",530.919616363068,557.148052318359,"Anthrax"
"social_vulnerability",441.683794811135,458.836493389366,"Anthrax"
"tmean_change",530.248102252986,557.859362553438,"Anthrax"
"urban_cover",416.538232936892,430.218039782847,"Anthrax"
"urban_expansion",472.539779624007,492.482069920753,"Anthrax"
"health_travel_log",426.729693067303,438.804878457615,"Anthrax"
"livestock_log",521.42157940216,540.376264382553,"Anthrax"
"Causal (broad)",405.543095274126,414.955601624786,"Anthrax"
"Causal (strict)",404.133490153443,414.529448921305,"Anthrax"
