occurrence id,location id,alert id,feed id,longitude,latitude,occurrence date,location name,precision,model eligible,validation weighting,geoname id,GAUL_code,title,publication date,url,feed name,language,summary,aegypti_suitability,albopictus_suitability,
835,143,521,2,94.5,28,20/02/2002 04:50,"Arunachal Pradesh State, India",ADMIN1,t,1,1278341,70036,PRO/EDR> Chikungunya - India (AP): susp.,20/02/2002 04:50,http://promedmail.org/direct.php?id=20060220.0551,ProMED Mail,,,0.064253363,0.440753221,
1196,202,611,2,-53,4,16/03/2002 04:50,"Region d'outre-mer de French Guiana, France",COUNTRY,t,1,,86,PRO/EDR> Chikungunya - French Guiana ex Madagascar,16/03/2002 04:50,http://promedmail.org/direct.php?id=20060316.0814,ProMED Mail,,,0.271841606,0.227960752,
3277,204,2161,2,79,16,31/07/2002 04:00,"Andhra Pradesh State, India",ADMIN1,t,1,1278629,1485,PRO/EDR> Chikungunya - India (04),31/07/2002 04:00,http://promedmail.org/direct.php?id=20060801.2120,ProMED Mail,,,0.798086528,0.602525146,
4637,172,3100,2,72.0043,22.9988,16/10/2002 04:00,"Gujarat State, India",ADMIN1,t,1,,1491,PRO/EDR> Chikungunya - India (11),16/10/2002 04:00,http://promedmail.org/direct.php?id=20061017.2986,ProMED Mail,,,0.887340808,0.227002663,
2468,314,1560,2,74.5,15.86667,02/06/2002 04:00,"Belgaum, Karnataka, India",PRECISE,t,1,1276533,,PRO/EDR> Chikungunya - Indian Ocean update (24): India,02/06/2002 04:00,http://promedmail.org/direct.php?id=20060603.1548,ProMED Mail,,,0.873087517,0.740951325,
3857,385,2608,2,76.31932,9.48432,27/09/2002 04:00,"Alappuzha, Kerala, India",PRECISE,t,1,1278985,,"PRO/EDR> Chikungunya - India (07): Kerala, RFI",27/09/2002 04:00,http://promedmail.org/direct.php?id=20060928.2774,ProMED Mail,,,0.905518065,0.95458649,
4609,182,3100,2,75.8798,19.5597,16/10/2002 04:00,"Maharashtra State, India",ADMIN1,t,1,,1498,PRO/EDR> Chikungunya - India (11),16/10/2002 04:00,http://promedmail.org/direct.php?id=20061017.2986,ProMED Mail,,,0.864684047,0.218088024,
2069,274,1269,2,73.85674,18.52043,30/04/2002 04:00,"Pune, Maharashtra, India",PRECISE,t,1,1259229,,PRO/EDR> Chikungunya - Indian Ocean update (20): India,30/04/2002 04:00,http://promedmail.org/direct.php?id=20060501.1261,ProMED Mail,,,0.94341572,0.771243605,
1778,248,1055,2,74.53333,20.55,03/04/2002 03:50,"Malegaon, Maharashtra, India",PRECISE,t,1,1264115,,PRO/EDR> Chikungunya - Indian Ocean update (13): India,03/04/2002 03:50,http://promedmail.org/direct.php?id=20060403.0997,ProMED Mail,,"Source: The Times of India, 3 Apr 2006 [edited] Chikungunya reported from 29 villages of Nasik (or Nashik) ----------------------------------------------- An outbreak of chikungunya (CHIK), a mosquito-transmitted viral fever, has been reported from 29 villages of Nasik district in Maharashtra, and over 500 people who showed symptoms of the disease have been ...",0.941438886,0.462128557,
2070,275,1269,2,73.25,18.3,30/04/2002 04:00,"Indapur, Maharashtra, India",PRECISE,t,1,1269761,,PRO/EDR> Chikungunya - Indian Ocean update (20): India,30/04/2002 04:00,http://promedmail.org/direct.php?id=20060501.1261,ProMED Mail,,,0.817107064,0.807291249,
