"model","waic","dic","Disease"
"Baseline",557.957672544875,570.597903071022,"St. Louis encephalitis"
"biodiv_intact",558.131418804579,570.281377408666,"St. Louis encephalitis"
"crop_cover",558.777693947409,570.39365718282,"St. Louis encephalitis"
"crop_expansion",559.929159916838,572.535871564151,"St. Louis encephalitis"
"evi_dissimilarity",528.228551195981,535.895010330153,"St. Louis encephalitis"
"forest_cover",546.247375199832,556.832988192441,"St. Louis encephalitis"
"forest_loss",553.325387294635,565.776138474764,"St. Louis encephalitis"
"mining",559.114278464082,571.51571239798,"St. Louis encephalitis"
"precip_change",559.294854918837,571.102058533553,"St. Louis encephalitis"
"protected_areas",559.624090673905,572.375523747804,"St. Louis encephalitis"
"social_vulnerability",527.887530016477,537.671299543363,"St. Louis encephalitis"
"tmean_change",559.299628589288,571.296511886186,"St. Louis encephalitis"
"urban_cover",529.473481254424,539.208065681251,"St. Louis encephalitis"
"urban_expansion",532.139430208702,542.269086009556,"St. Louis encephalitis"
"health_travel_log",540.015566200722,549.79810483766,"St. Louis encephalitis"
"livestock_log",556.994869013924,569.759371475553,"St. Louis encephalitis"
"Causal (broad)",530.237412332088,537.480341995206,"St. Louis encephalitis"
"Causal (strict)",524.363721176437,532.063728056868,"St. Louis encephalitis"
