"model","waic","dic","Disease"
"Baseline",488.026235998243,498.004387185736,"Plasmodium knowlesi malaria"
"biodiv_intact",486.28332450669,496.282989875733,"Plasmodium knowlesi malaria"
"crop_cover",490.150440737499,499.699768087504,"Plasmodium knowlesi malaria"
"crop_expansion",489.539956830073,498.952237158204,"Plasmodium knowlesi malaria"
"evi_dissimilarity",473.530982436931,483.746227102874,"Plasmodium knowlesi malaria"
"forest_cover",486.082509532565,496.35431541129,"Plasmodium knowlesi malaria"
"forest_loss",489.61325633731,499.479448755399,"Plasmodium knowlesi malaria"
"hunting",475.873041700958,485.239251534133,"Plasmodium knowlesi malaria"
"mining",489.786782706933,499.387162881821,"Plasmodium knowlesi malaria"
"precip_change",489.291992205698,499.106351886508,"Plasmodium knowlesi malaria"
"protected_areas",488.541260317319,498.04668719909,"Plasmodium knowlesi malaria"
"social_vulnerability",472.5784041421,482.188064841824,"Plasmodium knowlesi malaria"
"tmean_change",488.362152531704,498.539320310169,"Plasmodium knowlesi malaria"
"urban_cover",486.404336827076,496.395812025015,"Plasmodium knowlesi malaria"
"urban_expansion",489.186644614565,499.054494013396,"Plasmodium knowlesi malaria"
"health_travel_log",473.649244300654,483.752592204893,"Plasmodium knowlesi malaria"
"livestock_log",461.419318807918,470.197348100607,"Plasmodium knowlesi malaria"
"Causal (broad)",457.513337202561,466.153993928895,"Plasmodium knowlesi malaria"
"Causal (strict)",470.248440645078,479.226565979844,"Plasmodium knowlesi malaria"
