"model","waic","dic","Disease"
"Baseline",2070.82989958363,2108.06895238179,"Hantavirus cardiopulmonary syndrome"
"biodiv_intact",2063.9111301113,2098.64512937422,"Hantavirus cardiopulmonary syndrome"
"crop_cover",2070.34249344828,2105.77844904276,"Hantavirus cardiopulmonary syndrome"
"crop_expansion",2071.87788270506,2109.01167608875,"Hantavirus cardiopulmonary syndrome"
"evi_dissimilarity",2071.80331426221,2109.03557487363,"Hantavirus cardiopulmonary syndrome"
"forest_cover",2068.78108363409,2103.95188737406,"Hantavirus cardiopulmonary syndrome"
"forest_loss",2072.8516815239,2110.08502381377,"Hantavirus cardiopulmonary syndrome"
"hunting",2063.60590613153,2099.15092809309,"Hantavirus cardiopulmonary syndrome"
"mining",2072.88368364085,2109.80120084929,"Hantavirus cardiopulmonary syndrome"
"precip_change",2070.32676158826,2106.4202630859,"Hantavirus cardiopulmonary syndrome"
"protected_areas",2071.12180692467,2108.24623324266,"Hantavirus cardiopulmonary syndrome"
"social_vulnerability",2061.65644068995,2096.20451738595,"Hantavirus cardiopulmonary syndrome"
"tmean_change",2072.24465764978,2109.41569333296,"Hantavirus cardiopulmonary syndrome"
"urban_cover",2058.86941164884,2094.42487401481,"Hantavirus cardiopulmonary syndrome"
"urban_expansion",2056.32920873447,2092.11239511007,"Hantavirus cardiopulmonary syndrome"
"health_travel_log",2068.75445931972,2104.16610662323,"Hantavirus cardiopulmonary syndrome"
"livestock_log",2071.50034537028,2108.58104275578,"Hantavirus cardiopulmonary syndrome"
"Causal (broad)",2040.86015956916,2069.93548741051,"Hantavirus cardiopulmonary syndrome"
"Causal (strict)",2042.71758196007,2071.49325776894,"Hantavirus cardiopulmonary syndrome"
