"model","waic","dic","Disease"
"Baseline",762.785158207242,778.943913795247,"Monkeypox"
"biodiv_intact",760.696194911875,776.348768825001,"Monkeypox"
"crop_cover",764.292534076322,780.341908448857,"Monkeypox"
"crop_expansion",763.089940817863,779.51945253034,"Monkeypox"
"evi_dissimilarity",741.799764326587,757.430634291008,"Monkeypox"
"forest_cover",749.251523739455,765.584649375923,"Monkeypox"
"forest_loss",742.048792135599,754.794828914976,"Monkeypox"
"hunting",658.661423456647,672.584123638654,"Monkeypox"
"precip_change",763.890887625181,779.862771140791,"Monkeypox"
"protected_areas",764.709955379716,780.640573445168,"Monkeypox"
"tmean_change",762.793476287677,778.844096884114,"Monkeypox"
"urban_cover",729.475630218689,743.246812441275,"Monkeypox"
"urban_expansion",729.126099129523,741.663378747731,"Monkeypox"
"health_travel_log",727.419146078922,741.543877193748,"Monkeypox"
"livestock_log",759.020114996461,774.371767812444,"Monkeypox"
"Causal (broad)",654.051499482692,665.20964464183,"Monkeypox"
"Causal (strict)",649.429807393013,660.635747991072,"Monkeypox"
