"model","waic","dic","Disease"
"Baseline",1933.49289143287,1998.64109949043,"Yellow fever"
"biodiv_intact",1934.68737233262,1999.75930812542,"Yellow fever"
"crop_cover",1934.17865085769,1998.80252084584,"Yellow fever"
"crop_expansion",1935.50043675076,2000.75131971588,"Yellow fever"
"evi_dissimilarity",1866.62943800904,1924.52676279028,"Yellow fever"
"forest_cover",1904.01054396035,1969.17813921456,"Yellow fever"
"forest_loss",1935.96095641557,2001.24020129538,"Yellow fever"
"precip_change",1935.19916085168,2001.27290837664,"Yellow fever"
"protected_areas",1934.02284655413,1999.81706004061,"Yellow fever"
"social_vulnerability",1849.91040139839,1906.63301766628,"Yellow fever"
"tmean_change",1930.39644396264,1994.03734083798,"Yellow fever"
"urban_cover",1804.74489855014,1857.90522471834,"Yellow fever"
"urban_expansion",1879.27649321269,1929.58543797733,"Yellow fever"
"health_travel_log",1790.1722808502,1840.46016362766,"Yellow fever"
"livestock_log",1934.6575454981,1999.64763634603,"Yellow fever"
"Causal (broad)",1750.41873214606,1796.5212906195,"Yellow fever"
"Causal (strict)",1748.60447289819,1794.96849424163,"Yellow fever"
