"model","waic","dic","Disease"
"Baseline",2426.69847169582,2456.74749793122,"LaCrosse encephalitis"
"biodiv_intact",2428.37308514724,2458.41982940043,"LaCrosse encephalitis"
"crop_cover",2423.44796690981,2453.4759482101,"LaCrosse encephalitis"
"crop_expansion",2428.58844393616,2458.60880326147,"LaCrosse encephalitis"
"evi_dissimilarity",2423.24393141684,2453.36169750179,"LaCrosse encephalitis"
"forest_cover",2428.31325094097,2458.30932465978,"LaCrosse encephalitis"
"forest_loss",2427.84305550429,2458.31527804533,"LaCrosse encephalitis"
"mining",2426.96109328223,2455.66816784835,"LaCrosse encephalitis"
"precip_change",2427.79259018193,2457.83368952277,"LaCrosse encephalitis"
"protected_areas",2425.14545579049,2454.93986896896,"LaCrosse encephalitis"
"social_vulnerability",2416.94519482173,2447.32296913831,"LaCrosse encephalitis"
"tmean_change",2423.39405954279,2452.99118441868,"LaCrosse encephalitis"
"urban_cover",2411.16445443533,2441.16531179281,"LaCrosse encephalitis"
"urban_expansion",2421.81402393234,2451.64882063662,"LaCrosse encephalitis"
"health_travel_log",2427.18211360391,2457.12943443194,"LaCrosse encephalitis"
"livestock_log",2407.25615218501,2437.06517207647,"LaCrosse encephalitis"
"Causal (broad)",2404.08003884284,2434.54438713017,"LaCrosse encephalitis"
"Causal (strict)",2413.31047877722,2443.40189143417,"LaCrosse encephalitis"
