ID,Country,Admin_region,Town,Latitude,Longitude,Year_start,Year_end,Rodent_or_human,Acutedisease_or_seroprevalence,Number_acutecases,Seroprevalence_percent,Comments,Reference,Reference_url,Notes
1,Nigeria,Kaduna State,Rahama,10.4134,8.6904,1952,1952,Human,Acute,1,,,"Henderson et al, Trans R Soc Trop Med Hyg. 1972;66(3):409-16.",https://www.ncbi.nlm.nih.gov/pubmed/4625715,
396,Guinea,Kissidougou Prefecture,Telekoro,9.18,-10.1,1965,1968,,,,,,Saltzmann S (1978) La fievre de Lassa. Neuchatel: Editions des Groupes Missionnaires,NA,
131,Nigeria,Benue river area,Not specified,NA,NA,1965,1966,Human,Seroprevalence,,2,,"Henderson et al, Trans R Soc Trop Med Hyg. 1972;66(3):409-16.",https://www.ncbi.nlm.nih.gov/pubmed/4625715,
132,Nigeria,Jos Plateau,Not specified,NA,NA,1965,1970,Human,Seroprevalence,,10,,"Henderson et al, Trans R Soc Trop Med Hyg. 1972;66(3):409-16.",https://www.ncbi.nlm.nih.gov/pubmed/4625715,
133,Nigeria,Oyo State,Ibaden,7.4029,3.9018,1965,1970,Human,Seroprevalence,,2,,"Henderson et al, Trans R Soc Trop Med Hyg. 1972;66(3):409-16.",https://www.ncbi.nlm.nih.gov/pubmed/4625715,
134,Nigeria,Bornu State,Bornu ranch,11.59,13.32,1966,1966,Human,Seroprevalence,,0,,"Henderson et al, Trans R Soc Trop Med Hyg. 1972;66(3):409-16.",https://www.ncbi.nlm.nih.gov/pubmed/4625715,
2,Liberia,Lofa County,Zorzor,7.77,-9.42,1969,1982,Human,Acute,38,,,"Frame et al, Trans R Soc Trop Med Hyg. 1984;78(5):656-60.",https://www.ncbi.nlm.nih.gov/pubmed/6390808,
3,Nigeria,Borno State,Lassa,10.69,13.31,1969,1969,Human,Acute,1,,,"Frame et al, Am J Trop Med Hyg. 1970 Jul;19(4):670-6.",https://www.ncbi.nlm.nih.gov/pubmed/4246571,
4,Nigeria,Plateau State,Jos,9.92,8.9,1969,1969,Human,Acute,2,,,"Frame et al, Am J Trop Med Hyg. 1970 Jul;19(4):670-6.",https://www.ncbi.nlm.nih.gov/pubmed/4246571,
5,Cote d'Ivoire,Beoumi Prefecture,Beoumi,7.67,-5.57,1970,1974,Human,Acute,1,,,"Frame, Bull World Health Organ. 1975;52(4-6):593-8.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2366625/,
