Outbreak_ID,Virus,Country,Apparent Origin,Month Start,Month End,Year Start,Year End,Lat,Long,shape,Lat/Long Notes
1,Ebola Sudan,Sudan,Nzara (Cotton Factory),6,11,1976,1976,4.63912,28.25115,point,"Ref 100 state the 'apparent origin' and give coords within the paper. Our own lat & long checked and confirmed in GE and against Ref 3 map (Fig 1). Ref 100 states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
2,Ebola Zaire,DRC/ Zaire,Yambuku village (index),8,10,1976,1976,2.82535,22.22567,point,"Ref 100 state the 'apparent origin' and give coords within the paper.  We used our own coords to accurate reflect the village position. Our lat & long checked and confirmed in GE and against Ref 2 map (Fig 3). Ref 100  states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
3,Ebola Zaire,DRC/ Zaire,Bonduni village (20km east of Tanda),6,6,1977,1977,,,polygon,Ref 100 states the 'apparent origin' and give coords within the paper. We used our own lat & long which were checked and confirmed in GE and against Ref 10 map (Fig 2). Because we can not be 100% certain where the village is along the road we suggest a 5km radius drawn around the excel coords.
4,Ebola Sudan,Sudan,Nzara town,7,10,1979,1979,4.63912,28.25115,point,"Ref 100 states the 'apparent origin' and give coords within the paper. We used our own lat & long which were checked and confirmed in GE. Article 100 coords are 0.5km from the hospital where the index case first presented (Nzara General Hospital). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
5,Ebola Ivory Coast,Cote d'Ivoire,Tai National Park,11,11,1994,1994,,,polygon,"Ref 100 states the 'apparent origin' and give coords within the paper. We used our own lat & long which were checked and confirmed in GE and against Ref 7 map (Fig 1). The excel coords represent the centroid of the chimpanze home range. A 5km radius should be drawn around the excel coords to capture the chimps homerange.  Our coords are around 12km from the town of Tai. Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
6,Ebola Zaire,Gabon,Mekouka and Andock mining camps,11,2,1994,1995,,,polygon,Original paper 'apparent origin' and give coords within the paper for Mekouka and Andock. These coords were used. The paper coords were checked and confirmed in GE and against Ref 8 map (Fig 1). A polygon needs to be drawn around Mekouka and Andock as we can not be sure whether the index case came from the Mekouka or Andock camp.
7,Ebola Zaire,DRC,Mwembe (15km from Kikwit),1,7,1995,1995,,,polygon,"Ref 100 states the 'apparent origin' and give coords within the paper. We used our own lat & long which were checked and confirmed in GE and against the paper's description ('Collecting charcoal in Mwembe, 15 km from his residence in Kikwit'). Because we could not find 'Mwembe' we drew a polygon around Kikwit that had a 15km radius."
8,Ebola Zaire,Gabon,Mayibout 2 (index),1,3,1996,1996,1.11667,13.1,point,Original paper coords were checked and confirmed in GE and against the paper's Ref 8 map (Fig 1).
9,Ebola Zaire,Gabon,Logging camp nr Booue (index 1),7,1,1996,1997,0.1,11.95,point,"The original paper coords were checked and confirmed in GE and against the Ref 8 map (Fig 1). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
10,Ebola Sudan,Uganda,Rwot-Obilo ,10,2,2000,2001,2.94998,32.19997,point,Gulu's lat & long checked and confirmed in GE and against Ref 26 map (Fig 1). The excel coords represent the centoid of Gulu. Therefore a polygon need to be drawn that matches the geographic limits of 'Gulu'.
11,Ebola Zaire,Gabon,Memdemba,10,3,2001,2002,0.70055,14.15543,point,"The original paper gave the name of the villages and GE and the article map were used to geo-ref. Ref 100 also states the 'apparent origin' and give coords within the paper. Article 100 lat & long checked and confirmed to be near Ekata (3.5km north of the GE marker for Ekata). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
12,Ebola Zaire,Republic of the Congo,"Oloba, Mbomo district",12,3,2001,2002,0.62049,14.377736,point,The original paper gave the name of the district and GE and the article map were used to geo-ref the center point of the district. Ref 100 also states the 'apparent origin' and give coords within the paper. A polygon needs to be drawn around the district
13,Ebola Zaire,Republic of the Congo,"Entsiami, Abolo, Ambomi ",10,3,2001,2002,,,polygon,The original paper gave the name of the district and GE and the article map were used to geo-ref the center point of the district. Ref 100 also states the 'apparent origin' and give coords within the paper. A polygon needs to be drawn around the district
14,Ebola Zaire,Gabon,Ekata,11,3,2001,2002,0.67705,14.28902,point,"The original paper gave the name of the villages and GE and the article map were used to geo-ref. Ref 100 also states the 'apparent origin' and give coords within the paper. Article 100 lat & long checked and confirmed to be near Ekata (3.5km north of the GE marker for Ekata). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
15,Ebola Zaire,Gabon,Etakangaye,12,3,2001,2002,,,polygon,"The original paper gave the name of the villages and GE and the article map were used to geo-ref. Ref 100 also states the 'apparent origin' and give coords within the paper. Article 100 lat & long checked and confirmed to be near Ekata (3.5km north of the GE marker for Ekata). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
16,Ebola Zaire,Gabon,Grand Etoumbi,2,3,2002,2002,,,polygon,"The original paper gave the name of the villages and GE and the article map were used to geo-ref. Ref 100 also states the 'apparent origin' and give coords within the paper. Article 100 lat & long checked and confirmed to be near Ekata (3.5km north of the GE marker for Ekata). Ref 100 also states that, 'Occurrences of unknown origin were excluded from analysis, but when reasonable guesses could be made as to point or general area of origin they were included. Although the geographic coordinates may not fix the exposure point precisely, they represent the review paper's best guess as to its position and are likely to be representative of the coarse-scale ecologic conditions'. "
17,Ebola Zaire,Republic of the Congo,"Yembelangoye village (Kéllé district, Cuvette Ouest)",12,4,2002,2003,0.13418,14.20981,point,"The outbreak occurred in the districts of Mbomo (0.435209°, 14.845462°) and Kéllé (-0.066667°, 14.500000°) in Cuvette Ouest Département'. Accorinding to Ref 130, 'The first index case was probably infected during a hunt near Yembelangoye village on 21 December 2002'. The excel coords represent the GE marker for Yembelangoye village which is in the correct area as described by Ref 130."
18,Ebola Zaire,Republic of the Congo,"Site 2  (Kéllé district, Cuvette Ouest)",12,4,2002,2003,,,polygon,The 2rd index case location was not reported but we are confident it is around the Lossi Animal reserve. A polygon was drawn around the excel coords to represent the potential hunting range.
