ID,Presence,Unconfirmed [1],Training data,No. gen. tested,Calc. for no. gen. tested,Community tested,Host,samples collected to look for Pk [1] or opportunistic [2] or previously confirmed Pk [3],Year,Country,Country_id,Site_name,Subnational_area,Geometry_type,Latitude,Longitude,Admin_level,Gaul_code,Polygon_code,Centroid Latitude,Centroid Longitude,EndNote ID,Primary source,Secondary source,,,
1,0,1,0,207,divided pool,patients,human,1,2008,Cambodia,KHM,"Soun Kouma Health Centre, Pailin Province",Pailin Province,point,12.85679,102.57348,,,,,,175,"Khim N, Siv S, Kim S, Mueller T, Fleischmann E, et al. (2011) Plasmodium knowlesi infection in humans, Cambodia, 2007-2010. Emerging Infectious Diseases 17: 1900-1902.","Mueller TC, Siv S, Khim N, Kim S, Fleischmann E, et al. (2014) Acute undifferentiated febrile illness in rural cambodia: a 3-year prospective observational study. PloS ONE 9: e95868.",,,
2,0,1,0,207,divided pool,patients,human,1,2009,Cambodia,KHM,"Soun Kouma Health Centre, Pailin Province",Pailin Province,point,12.85679,102.57348,,,,,,175,"Khim N, Siv S, Kim S, Mueller T, Fleischmann E, et al. (2011) Plasmodium knowlesi infection in humans, Cambodia, 2007-2010. Emerging Infectious Diseases 17: 1900-1902.","Mueller TC, Siv S, Khim N, Kim S, Fleischmann E, et al. (2014) Acute undifferentiated febrile illness in rural cambodia: a 3-year prospective observational study. PloS ONE 9: e95868.",,,
3,0,1,0,207,divided pool,patients,human,1,2010,Cambodia,KHM,"Soun Kouma Health Centre, Pailin Province",Pailin Province,point,12.85679,102.57348,,,,,,175,"Khim N, Siv S, Kim S, Mueller T, Fleischmann E, et al. (2011) Plasmodium knowlesi infection in humans, Cambodia, 2007-2010. Emerging Infectious Diseases 17: 1900-1902.","Mueller TC, Siv S, Khim N, Kim S, Fleischmann E, et al. (2014) Acute undifferentiated febrile illness in rural cambodia: a 3-year prospective observational study. PloS ONE 9: e95868.",,,
4,0,1,0,68,divided pool,patients,human,1,2008,Cambodia,KHM,"Snoul Health Centre, Kratié Province",Kratie Province,point,12.07133,106.42292,,,,,,175,"Khim N, Siv S, Kim S, Mueller T, Fleischmann E, et al. (2011) Plasmodium knowlesi infection in humans, Cambodia, 2007-2010. Emerging Infectious Diseases 17: 1900-1902.","Mueller TC, Siv S, Khim N, Kim S, Fleischmann E, et al. (2014) Acute undifferentiated febrile illness in rural cambodia: a 3-year prospective observational study. PloS ONE 9: e95868.",,,
5,0,1,0,68,divided pool,patients,human,1,2009,Cambodia,KHM,"Snoul Health Centre, Kratié Province",Kratie Province,point,12.07133,106.42292,,,,,,175,"Khim N, Siv S, Kim S, Mueller T, Fleischmann E, et al. (2011) Plasmodium knowlesi infection in humans, Cambodia, 2007-2010. Emerging Infectious Diseases 17: 1900-1902.","Mueller TC, Siv S, Khim N, Kim S, Fleischmann E, et al. (2014) Acute undifferentiated febrile illness in rural cambodia: a 3-year prospective observational study. PloS ONE 9: e95868.",,,
6,0,1,0,68,divided pool,patients,human,1,2010,Cambodia,KHM,"Snoul Health Centre, Kratié Province",Kratie Province,point,12.07133,106.42292,,,,,,175,"Khim N, Siv S, Kim S, Mueller T, Fleischmann E, et al. (2011) Plasmodium knowlesi infection in humans, Cambodia, 2007-2010. Emerging Infectious Diseases 17: 1900-1902.","Mueller TC, Siv S, Khim N, Kim S, Fleischmann E, et al. (2014) Acute undifferentiated febrile illness in rural cambodia: a 3-year prospective observational study. PloS ONE 9: e95868.",,,
33,0,1,0,171,actual,suspected malaria cases,human,1,2010,Thailand,THA,Ranong Province,Ranong Province,polygon,,,Admin1,2900,,9.96786,98.70054,178,"Sermwittayawong N, Singh B, Nishibuchi M, Sawangjaroen N, Vuddhakul V (2012) Human Plasmodium knowlesi infection in Ranong province, southwestern border of Thailand. Malaria Journal 11: 36.",,,,
43,0,1,0,41,actual,monkeys,monkey,1,2008,Malaysia,MYS,Selangor State,Selangor State,polygon,,,Admin1,1903,,3.27258,101.50023,132,"Vythilingam I, Noorazian YM, Huat TC, Jiram AI, Yusri YM, et al. (2008) Plasmodium knowlesi in humans, macaques and mosquitoes in peninsular Malaysia. Parasit Vectors 1: 26.",,,,
46,0,1,0,0,actual,mosquitoes with sporozoites,mosquitoes with sporozoites,1,2007,Malaysia,MYS,Sungai Ular orchard,Pahang State,point,4.25194,102.06889,,,,,,132,"Vythilingam I, Noorazian YM, Huat TC, Jiram AI, Yusri YM, et al. (2008) Plasmodium knowlesi in humans, macaques and mosquitoes in peninsular Malaysia. Parasit Vectors 1: 26.",,,,
51,0,1,0,4,actual,confirmed malariae by microscopy cases,human,1,2008,Malaysia,MYS,Negeri Sembilan State,Negeri Sembilan State,polygon,,,Admin1,1896,,2.77725,102.20760,132,"Vythilingam I, Noorazian YM, Huat TC, Jiram AI, Yusri YM, et al. (2008) Plasmodium knowlesi in humans, macaques and mosquitoes in peninsular Malaysia. Parasit Vectors 1: 26.",,,,
