ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_occurrence,Presence/absence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Admin2_1,Admin1_1,Public_year,Source_1,Source_2
474,2,2009,2,2009,Triatoma carrioni,Triatoma,vector,,1,Positive in genetic test,Ecuador,point,Jurupe,-4.183,-79.521,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
476,2,2009,2,2009,Panstrongylus chinai,Panstrongylus,vector,,1,Positive in genetic test,Ecuador,point,Bramaderos,-4.083,-79.829,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
478,2,2009,2,2009,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,Bramaderos,-4.079,-79.825,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
480,8,2008,8,2008,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,Chaquizhca,-4.237,-79.599,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
482,7,2008,7,2008,Panstrongylus chinai,Panstrongylus,vector,,1,Positive in genetic test,Ecuador,point,Coamine,-4.123,-79.605,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
483,6,2008,6,2008,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,Coamine,-4.125,-79.623,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
484,2,2009,2,2009,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,El Guineo,-4.196,-80.034,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
485,2,2009,2,2009,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,Galapagos,-4.353,-79.432,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
486,8,2008,8,2008,Panstrongylus chinai,Panstrongylus,vector,,1,Positive in genetic test,Ecuador,point,Guara,-4.254,-79.58,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
487,8,2008,8,2008,Rhodnius ecuadoriensis,Rhodnius,vector,,1,Positive in genetic test,Ecuador,point,Jacapo,-4.364,-79.416,Paper,,,2010,"Ocana-Mayorga, S., Llewellyn, M. S., Costales, J. A., Miles, M. A. & Grijalva, M. J. Sex, subdivision, and domestic dispersal of Trypanosoma cruzi lineage I in Southern Ecuador. PLoS. Negl. Trop. Dis. 4 (2010).",
