ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_prevalence,No_Positive,Prevalence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Site_name_7,Latitude_7,Longitude_7,Coordinate_source_7,Site_name_8,Latitude_8,Longitude_8,Coordinate_source_8,Admin2_1,Admin1_1,Admin0,Publication_year,Source_1,Source_2
27,9,2003,4,2004,Canis familiaris,domestic mammals,alternative host,16,2,0.125,Positive in one serological test,Colombia,point,Tierra Firme,9.22995,-74.39691,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
28,9,2003,4,2004,Canis familiaris,domestic mammals,alternative host,7,0,0,Positive in one serological test,Colombia,point,El Recreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
29,9,2003,4,2004,Canis familiaris,domestic mammals,alternative host,11,2,0.181818182,Positive in one serological test,Colombia,point,San Valentin,9.35083,-74.24472,Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
30,9,2003,4,2004,Canis familiaris,domestic mammals,alternative host,13,3,0.230769231,Positive in one serological test,Colombia,point,Menchiquejo,9.18738,-74.04343,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
31,9,2003,4,2004,Canis familiaris,domestic mammals,alternative host,7,0,0,Positive in one serological test,Colombia,point,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
32,9,2003,4,2004,Canis familiaris,domestic mammals,alternative host,12,3,0.25,Positive in one serological test,Colombia,point,Troncocito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
33,9,2003,4,2004,Various sylvatic mammals,wild mammal (excluding rodents/bats/primates),alternative host,1,0,0,Positive in one serological test,Colombia,point,Tierra Firme,9.22995,-74.39691,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
34,9,2003,4,2004,Various sylvatic mammals,wild mammal (excluding rodents/bats/primates),alternative host,5,2,0.4,Positive in one serological test,Colombia,point,El Recreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
35,9,2003,4,2004,Various sylvatic mammals,wild mammal (excluding rodents/bats/primates),alternative host,25,5,0.2,Positive in one serological test,Colombia,point,San Valentin,9.35083,-74.24472,Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
36,9,2003,4,2004,Various sylvatic mammals,wild mammal (excluding rodents/bats/primates),alternative host,2,1,0.5,Positive in one serological test,Colombia,point,Menchiquejo,9.18738,-74.04343,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
37,9,2003,4,2004,Various sylvatic mammals,wild mammal (excluding rodents/bats/primates),alternative host,13,1,0.076923077,Positive in one serological test,Colombia,point,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
44,,,,,Canis familiaris,domestic mammals,alternative host,80,22,0.275,Positive in genetic test,Colombia,point,El Hatillo/El Espinal,6.367,-72.663,National Geographic World Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"David Ramirez, J., Turriago, B., Tapia-Calle, G. & Guhl, F. Understanding the role of dogs (Canis lupus familiaris) in the transmission dynamics of Trypanosoma cruzi genotypes in Colombia. Vet. Parasitol. 196, 216-219 (2013).",
52,8,2009,2,2012,Cerdocyon thous,wild mammal (excluding rodents/bats/primates),alternative host,30,19,0.633333333,Positive in one serological test,Brazil,point,Nhecolandia,-18.975,-56.62333,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rocha, F. L. et al. Trypanosoma cruzi infection in neotropical wild carnivores (Mammalia: Carnivora): At the top of the T-cruzi transmission chain. PLoS One 8 (2013).",
