ID,Start_month,Start_year,End_month,End_year,Host,Community,Lower_age,Upper_age,N_occurrence,Presence/absence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Admin2_1,Admin1_1,Publication_year,Source_1,Source_2
163,2,2010,8,2010,Homo sapiens,pregnant women,13,46,541,1,Positive in two independent serological tests,Colombia,polygon,El Yopal municipality,,,,,,,,,,,,,,,,13718,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
164,2,2010,8,2010,Homo sapiens,pregnant women,13,46,86,1,Positive in two independent serological tests,Colombia,polygon,Aguazul municipality,,,,,,,,,,,,,,,,13700,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
165,2,2010,8,2010,Homo sapiens,pregnant women,13,46,77,0,Positive in two independent serological tests,Colombia,polygon,Tauramena municipality,,,,,,,,,,,,,,,,13715,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
166,2,2010,8,2010,Homo sapiens,pregnant women,13,46,47,1,Positive in two independent serological tests,Colombia,polygon,Paz de Ariporo municipality,,,,,,,,,,,,,,,,13708,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
167,2,2010,8,2010,Homo sapiens,pregnant women,13,46,41,1,Positive in two independent serological tests,Colombia,polygon,San Luis de Palenque municipality,,,,,,,,,,,,,,,,13713,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
168,2,2010,8,2010,Homo sapiens,pregnant women,13,46,44,1,Positive in two independent serological tests,Colombia,polygon,Trinidad municipality,,,,,,,,,,,,,,,,13716,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
169,2,2010,8,2010,Homo sapiens,pregnant women,13,46,33,1,Positive in two independent serological tests,Colombia,polygon,Pore municipality,,,,,,,,,,,,,,,,13709,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
170,2,2010,8,2010,Homo sapiens,pregnant women,13,46,21,1,Positive in two independent serological tests,Colombia,polygon,Mani municipality,,,,,,,,,,,,,,,,13704,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
171,2,2010,8,2010,Homo sapiens,pregnant women,13,46,21,1,Positive in two independent serological tests,Colombia,polygon,Monterrey municipality,,,,,,,,,,,,,,,,13705,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
172,2,2010,8,2010,Homo sapiens,pregnant women,13,46,20,1,Positive in two independent serological tests,Colombia,polygon,Nunchia municipality,,,,,,,,,,,,,,,,13706,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
173,2,2010,8,2010,Homo sapiens,pregnant women,13,46,15,1,Positive in two independent serological tests,Colombia,polygon,Hatocorozal municipality,,,,,,,,,,,,,,,,13702,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
174,2,2010,8,2010,Homo sapiens,pregnant women,13,46,13,1,Positive in two independent serological tests,Colombia,polygon,Orocue municipality,,,,,,,,,,,,,,,,13707,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
175,2,2010,8,2010,Homo sapiens,pregnant women,13,46,10,1,Positive in two independent serological tests,Colombia,polygon,Tamara municipality,,,,,,,,,,,,,,,,13714,,2012,"Cucunuba, Z. M. et al. Prevalence and risk factors for Chagas disease in pregnant women in Casanare, Colombia. Am. J. Trop. Med. Hyg. 87, 837-842 (2012).",
900,1,1999,11,2001,Homo sapiens,,0,99,,1,Hemoculture or xenodiagnosis,Argentina,polygon,300km2 around Tres Estacas,,,,,,,,,,,,,,,,4808,,2003,"Diosque, P. et al. Multilocus enzyme electrophoresis analysis of Trypanosoma cruzi isolates from a geographically restricted endemic area for Chagas' disease in Argentina. Int. J. Parasitol. 33, 997-1003 (2003).",
936,,,,,Homo sapiens,patients with suspected leishmaniasis infection,0,99,14,1,Positive in genetic test,Bolivia,point,Yunga South,-16.4,-67.51667,Paper,,,,,,,,,,,,,,,2003,"Bastrenta, B. et al. Human mixed infections of Leishmania spp. and Leishmania-Trypanosoma cruzi in a sub Andean Bolivian area: Identification by polymerase chain reaction/hybridization and isoenzyme. Mem. Inst. Oswaldo Cruz 98, 255-264 (2003).",
937,,,,,Homo sapiens,patients with suspected leishmaniasis infection,0,99,14,1,Positive in genetic test,Bolivia,point,Yunga North,-16.25,-67.66667,Paper,,,,,,,,,,,,,,,2003,"Bastrenta, B. et al. Human mixed infections of Leishmania spp. and Leishmania-Trypanosoma cruzi in a sub Andean Bolivian area: Identification by polymerase chain reaction/hybridization and isoenzyme. Mem. Inst. Oswaldo Cruz 98, 255-264 (2003).",
999,,2000,,2000,Homo sapiens,occupants of infested housing,0,99,135,1,Positive in one serological test,Panama,point,Buenos Aires neighborhood,9.16958,-79.60758,GeoNames,,,,,,,,,,,,,,,2004,"de Vasquez, A. M., Samudio, F. E., Saldana, A., Paz, H. M. & Calzada, J. E. Eco-epidemiological aspects of Trypanosoma cruzi, Trypanosoma rangeli and their vector (Rhodnius pallescens) in Panama. Rev. Inst. Med. Trop. Sao Paulo 46, 217-222 (2004).",
1000,,2000,,2000,Homo sapiens,occupants of infested housing,0,99,16,1,Positive in one serological test,Panama,point,Agua Bendita neighborhood,9.16701,-79.61669,Google Maps,,,,,,,,,,,,,,,2004,"de Vasquez, A. M., Samudio, F. E., Saldana, A., Paz, H. M. & Calzada, J. E. Eco-epidemiological aspects of Trypanosoma cruzi, Trypanosoma rangeli and their vector (Rhodnius pallescens) in Panama. Rev. Inst. Med. Trop. Sao Paulo 46, 217-222 (2004).",
1229,,,,,Homo sapiens,,0,99,,1,Positive in genetic test,Colombia,point,Manzanal,11.17328,-73.60388,Paper,,,,,,,,,,,,,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1230,,,,,Homo sapiens,,0,99,,1,Positive in genetic test,Colombia,point,Kasakumake,11.16994,-73.61092,Paper,,,,,,,,,,,,,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1231,,,,,Homo sapiens,,0,99,,1,Positive in genetic test,Colombia,point,Gumake,11.14136,-73.63301,Paper,,,,,,,,,,,,,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1232,,,,,Homo sapiens,,0,99,,1,Positive in genetic test,Colombia,point,Umandita,11.12373,-73.64321,Paper,,,,,,,,,,,,,,,2009,"Rodriguez, I. B. et al. Transmission dynamics of Trypanosoma cruzi determined by low-stringency single primer polymerase chain reaction and southern blot analyses in four indigenous communities of the Sierra Nevada de Santa Marta, Colombia. Am. J. Trop. Med. Hyg. 81, 396-403 (2009).",
1631,6,2004,12,2004,Homo sapiens,occupants of infested housing,0,99,56,1,Positive in two independent serological tests,Panama,point,Los Hules/Las Pavas,9.06076,-79.89952,Paper,,,,,,,,,,,,,,,2006,"Calzada, J. E. et al. Human trypanosome infection and the presence of intradomicile Rhodnius pallescens in the Western Border of the Panama Canal, Panama. Am. J. Trop. Med. Hyg. 74, 762-765 (2006).",
1634,11,1994,2,1995,Homo sapiens,occupants of poorly built houses,15,99,81,1,Positive in two independent serological tests,Argentina,points,"Tasigasta, Bajadita & Boqueron",-28.4,-64.2,Paper,,,,,,,,,,,,,,,2004,"Catala, S. S. et al. Entomological aspects of Chagas' disease transmission in the domestic habitat, Argentina. Rev. Saude Publica 38, 216-222 (2004).",
1635,11,1994,2,1995,Homo sapiens,occupants of poorly built houses,0,14,37,1,Positive in two independent serological tests,Argentina,points,"Tasigasta, Bajadita & Boqueron",-28.4,-64.2,Paper,,,,,,,,,,,,,,,2004,"Catala, S. S. et al. Entomological aspects of Chagas' disease transmission in the domestic habitat, Argentina. Rev. Saude Publica 38, 216-222 (2004).",
1636,11,1995,12,1996,Homo sapiens,occupants of poorly built houses,15,99,95,1,Positive in two independent serological tests,Argentina,points,"La Tosca, Quilino, El Puestito, Las Ollas, paraje San Miguel, San Carlos, Santa Lucia",-30.2,-64.6,Paper,Guanaco Muerto,-30.5,-65.1,Paper ,"El Guanaco, La Penca",-29.8,-63.3,Paper ,,,,,,,2004,"Catala, S. S. et al. Entomological aspects of Chagas' disease transmission in the domestic habitat, Argentina. Rev. Saude Publica 38, 216-222 (2004).",
1637,11,1995,12,1996,Homo sapiens,occupants of poorly built houses,0,14,36,1,Positive in two independent serological tests,Argentina,points,"La Tosca, Quilino, El Puestito, Las Ollas, paraje San Miguel, San Carlos, Santa Lucia",-30.2,-64.6,Paper,Guanaco Muerto,-30.5,-65.1,Paper ,"El Guanaco, La Penca",-29.8,-63.3,Paper ,,,,,,,2004,"Catala, S. S. et al. Entomological aspects of Chagas' disease transmission in the domestic habitat, Argentina. Rev. Saude Publica 38, 216-222 (2004).",
1638,3,1996,4,1996,Homo sapiens,occupants of poorly built houses,15,99,97,1,Positive in two independent serological tests,Argentina,points,Hacheral,-24.3,-64.8,Paper,"El Perchel, Huancalera, Caleta, Humahuaca",-23.4,-65.3,Paper ,"La Union, Sector 5",-23.9,-63.2,Paper ,"La Banda, San Agustin, La Florida",-26.1,-65.8,Paper ,,,2004,"Catala, S. S. et al. Entomological aspects of Chagas' disease transmission in the domestic habitat, Argentina. Rev. Saude Publica 38, 216-222 (2004).",
1639,3,1996,4,1996,Homo sapiens,occupants of poorly built houses,0,14,54,1,Positive in two independent serological tests,Argentina,points,Hacheral,-24.3,-64.8,Paper,"El Perchel, Huancalera, Caleta, Humahuaca",-23.4,-65.3,Paper ,"La Union, Sector 5",-23.9,-63.2,Paper ,"La Banda, San Agustin, La Florida",-26.1,-65.8,Paper ,,,2004,"Catala, S. S. et al. Entomological aspects of Chagas' disease transmission in the domestic habitat, Argentina. Rev. Saude Publica 38, 216-222 (2004).",
