ID,Start_month,Start_year,End_month,End_year,Host,Community,Lower_age,Upper_age,N_occurrence,Acute infection,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Admin2_1,Admin1_1,Publication_year,Source_1,Source_2
500,4,2007,4,2007,Homo sapiens,,0,99,,1,Positive in genetic test,Brazil,point,Santa Maria,-3.93917,-62.77111,GeoNames,,,2010,"Monteiro, W. M. et al. Trypanosoma cruzi TcIII/Z3 genotype as agent of an outbreak of Chagas disease in the Brazilian Western Amazonia. Trop. Med. Int. Health. 15, 1049-1051 (2010).","Silveira, H. (2015) personal communication"
591,5,2005,5,2005,Homo sapiens,,0,99,,1,Positive in two independent serological tests,Colombia,point,El Cedro,9.00472,-73.97806,Paper,,,2009,"Dib, J., Barnabe, C., Tibayrenc, M. & Triana, O. Incrimination of Eratyrus cuspidatus (Stal) in the transmission of Chagas' disease by molecular epidemiology analysis of Trypanosoma cruzi isolates from a geographically restricted area in the north of Colombia. Acta Tropica 111, 237-242 (2009).","Dib, J. (2015) personal communication"
643,3,2005,3,2005,Homo sapiens,,,,,1,Positive in genetic test,Brazil,point,Navegantes municipality,-26.89889,-48.65417,GeoNames,,,2008,"Steindel, M. et al. Characterization of Trypanosoma cruzi isolated from humans, vectors, and animal reservoirs following an outbreak of acute human Chagas disease in Santa Catarina State, Brazil. Diagn. Microbiol. Infect. Dis. 60, 25-32 (2008).",
896,,,,,Homo sapiens,,4,15,,1,Positive in two independent serological tests,Bolivia,point,Cochabamba (suburbs),-17.40207,-66.1625,Google Maps,,,2003,"Sathler-Avelar, R. et al. Phenotypic features of peripheral blood leucocytes during early stages of human infection with Trypanosoma cruzi. Scand. J. Immunol. 58, 655-663 (2003).",
990,7,2010,7,2010,Homo sapiens,case,5,5,1,1,Direct examination,Brazil,point,Caetanopolis,-19.29528,-44.41861,GeoNames,,,2012,"Costa, A. S. L., Santos, V. C., Amorim, P. C. V., Santos, J. E. & Pinto, A. Y. d. N. Infecção tripla por Trypanosoma cruzi, Plasmodium vivax e P. falciparum: relato de caso falciparum: case report. J. Bras. Patol. Med. Lab. 48, 421-425 (2012).",
1626,,,,2007,Homo sapiens,acute case,8,8,1,1,Positive in two independent serological tests and direct examination,Peru,point,San Pedro de Shishita,-3.39863,-71.75286,Paper,,,2010,"Cabrera, R. et al. Epidemiological investigation of an acute case of Chagas disease in an area of active transmission I n Peruvian Amzon Region. Rev. Inst. Med. Trop. Sao Paulo 52, 269-272 (2010).","Asayag, C. R. et al. Eight year old with fever, hepatomegaly, and positive thick smear. Am. J. Trop. Med. Hyg. 79, 473-473 (2008)."
1627,10,2006,10,2006,Homo sapiens,febrile patients examined for malaria,2.1,2.1,,1,Positive in two independent serological tests and direct examination,Peru,point,Sachapapa,-4.89284,-77.6245,Paper,,,2013,"Cabrera, R. et al. New focus of active transmission of Chagas disease in indigenous populations in the Peruvian Amazon basin. Rev. Soc. Bras. Med. Trop. 46, 367-372 (2013).",
1628,5,2007,5,2007,Homo sapiens,febrile patients examined for malaria,2.2,4,,1,Positive in two independent serological tests and direct examination,Peru,point,Nuevo Jerusalen,-4.54057,-77.4264,Paper,,,2013,"Cabrera, R. et al. New focus of active transmission of Chagas disease in indigenous populations in the Peruvian Amazon basin. Rev. Soc. Bras. Med. Trop. 46, 367-372 (2013).",
1629,12,2008,3,2009,Homo sapiens,febrile patients examined for malaria,0.4,11,,1,Positive in two independent serological tests and direct examination,Peru,point,Mayuriaga,-4.22296,-77.23656,GeoNames,,,2013,"Cabrera, R. et al. New focus of active transmission of Chagas disease in indigenous populations in the Peruvian Amazon basin. Rev. Soc. Bras. Med. Trop. 46, 367-372 (2013).",
1630,3,2010,3,2010,Homo sapiens,febrile patients examined for malaria,2,2,,1,Positive in two independent serological tests and direct examination,Peru,point,Chambira,-3.85491,-76.7117,Paper,,,2013,"Cabrera, R. et al. New focus of active transmission of Chagas disease in indigenous populations in the Peruvian Amazon basin. Rev. Soc. Bras. Med. Trop. 46, 367-372 (2013).",
1730,,,,,Homo sapiens,,17,17,,1,Direct examination,Mexico,point,Cuahtemoc,19.2317,-103.69842,Google Maps,,,2006,"Espinoza-Gomez, F., Melnikov, V., Newton-Sanchez, O. A., Govea-Arreguin, A. & Rojas-Larios, F. Acute Chagas disease in colima, Mexico. Report of a case and review of its epidemiology. Am. J. Trop. Med. Hyg. 75, 43-43 (2006).",
1766,2,2010,2,2010,Homo sapiens,,0,99,,1,Positive in two independent serological tests,Colombia,point,Bocas del Atrato,8.09692,-76.73975,Paper,,,2011,"Fernando Rios, J., Arboleda, M., Nelly Montoya, A., Patricia Alarcon, E. & Jaime Parra-Henao, G. Probable outbreak of oral transmission of Chagas disease in Turbo, Antioquia. Biomedica 31, 185-195 (2011).",
1949,9,2008,9,2008,Homo sapiens,,6,6,1,1,Direct examination,Venezuela,point,El Rincon,10.12978,-64.58665,Google Maps,,,2007,"Morocoima, A., Tineo Brito, E. J., Ferrer, E., Herrera, L. & Nunez, M. Chagas disease in Anzoategui state, Venezuela: Detection of an acute case and parasitological and molecular characterization of the parasite isolate. Bol. Mal. Salud Amb. 48, 121-126 (2008).","Ferrer, E. (2015) personal communication"
1950,,2002,,2005,Homo sapiens,,0.5,0.5,1,1,Positive in genetic test,Colombia,point,Puerto Guzman municipality,,,,14170,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1951,,2002,,2005,Homo sapiens,,50,50,1,1,Positive in genetic test,Colombia,point,Saravena municipality,,,,13472,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1952,,2002,,2005,Homo sapiens,,35,35,1,1,Positive in two independent serological tests and direct examination,Colombia,point,Tamara municipality,,,,13714,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1953,,2002,,2005,Homo sapiens,,31,31,1,1,Direct examination,Colombia,point,Giron municipality,,,,14241,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1954,,2002,,2005,Homo sapiens,,26,26,1,1,Direct examination,Colombia,point,Tibu municipality,,,,14161,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1955,,2002,,2005,Homo sapiens,,16,16,1,1,Positive in two independent serological tests,Colombia,point,El Penon municipality,,,,13860,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1956,,2002,,2005,Homo sapiens,,18,18,1,1,Positive in two independent serological tests and direct examination,Colombia,point,Putumayo municipality,,,,15519,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1957,,2002,,2005,Homo sapiens,,2,2,1,1,Positive in genetic test,Colombia,point,Casanare department,,,,,943,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1958,,2002,,2005,Homo sapiens,,38,38,1,1,Positive in two independent serological tests and direct examination,Colombia,point,Durania municipality,,,,14136,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
1959,,2002,,2005,Homo sapiens,,2.5,2.5,1,1,Positive in genetic test,Colombia,point,Puerto Leguizamo municipality,,,,14171,,2008,"Nicholls, R. S. et al. Acute Chagas disease in Colombia: a rarely suspected disease. Report of 10 cases presented during the 2002-2005 period. Biomedica 27, 8-17 (2007).",
2838,8,2006,8,2006,Homo sapiens,,6,6,1,1,Positive in two independent serological tests and direct examination,Peru,point,Pozuzo,-10.06958,-75.55124,Google Maps,,,2006,"Vega, S. et al. Primer caso de enfermedad de Chagas aguda en la Selva Central del Perú: investigación de colaterales, vectores y reservorios. Revista Peruana de Medicina Experimental y Salud Publica 23, 288-292 (2006).",
16307,11,2005,2,2006,Homo sapiens,,10,66,,1,Positive in one serological test and genetic test,French Guiana,point,Littoral,5.4795,-53.20389,Paper,,,2014,"Blanchet, D. et al. First report of a family outbreak of Chagas disease in French Guiana and posttreatment follow-up. Infect. Genet. Evol. 28, 245-250 (2014).",
16614,12,2007,12,2007,Homo sapiens,,5,15,,1,Positive in genetic test,Venezuela,polygon,"Chacao, Caracas",,,,32037,,2014,"Diaz-Bello, Z. et al. Trypanosoma cruzi genotyping supports a common source of infection in a school-related oral outbreak of acute Chagas disease in Venezuela. Epidemiol. Infect. 142, 156-162 (2014).",
16773,,2012,,2012,Homo sapiens,acute Chagas patients,5,5,,1,Positive in three independent serological tests,Colombia,point,Sabana del Crespo,10.5794,-73.41388,Google Maps,,,2014,"Ramirez, J. D. et al. First report of human Trypanosoma cruzi infection attributed to TcBat genotype. Zoonoses Public Health 61, 477-479 (2014).",
16791,10,2010,10,2010,Homo sapiens,patients with acute symptoms,0,99,,1,Positive in genetic test,Bolivia,point,Guayaramerín municipality,-10.82441,-65.35835,Google Maps,,,2011,"Vargas, J., Carrasco, P., Espinoza, E., Rios, T. & Brutus, L. Primer brote reportado de la enfermedad de chagas en la Amazonía Boliviana: reporte de 14 casos agudos por transmisión oral de Trypanosoma cruzi en Guayaramerín, Beni-Bolivia. Biofarbo 19, 52-58 (2011).","Rueda, K., Eduardo Trujillo, J., Cesar Carranza, J. & Adolfo Vallejo, G. Oral transmission of Trypanosoma cruzi: a new epidemiological scenario for Chagas' disease in Colombia and other South American countries. Biomedica 34, 631-641 (2014)."
16792,2,2006,2,2006,Homo sapiens,patients with acute symptoms,2,35,,1,Positive in one serological test and direct examination,Brazil,point,Aratuba,,,,6963,,2009,"de Góes Cavalcanti, L. P. et al. Microepidemia de doença de Chagas aguda por transmissão oral no Ceará. Cad. Saude. Colet. 17, 911-921 (2009).","Rueda, K., Eduardo Trujillo, J., Cesar Carranza, J. & Adolfo Vallejo, G. Oral transmission of Trypanosoma cruzi: a new epidemiological scenario for Chagas' disease in Colombia and other South American countries. Biomedica 34, 631-641 (2014)."
16793,12,2007,12,2007,Homo sapiens,school children/staff at school with atypical outbreak,9,9,,1,Positive in two independent serological tests and direct examination,Venezuela,point,Chacao de Caracas,,,,32037,,2010,"Alarcon De Noya, B., Diaz-Bello, Z., Colmenares, C., Ruiz-Guevara, R. & Noya, O. Enfermedad de Chagas de transmisión oral: vinculación del caso índice con una microepidemia urbana en Venezuela. Bol. Mal. Salud Amb. 50, 135-138 (2010).","Rueda, K., Eduardo Trujillo, J., Cesar Carranza, J. & Adolfo Vallejo, G. Oral transmission of Trypanosoma cruzi: a new epidemiological scenario for Chagas' disease in Colombia and other South American countries. Biomedica 34, 631-641 (2014)."
16805,,2000,,2000,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16806,,2001,,2001,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16808,,2003,,2003,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Ahuachapan,,,,,1184,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
