Year,Longitude,Latitude,LocationName,ADMcode,Disease,Pathogen,DataType,IfPolygon_AdminLevel,Country,Source,NumCases,CasesMetric,DiagnosticMetric,SourceType,Admin_name,ADMSource
2002,74.5,15.86667,"Belgaum, Karnataka, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,76.31932,9.48432,"Alappuzha, Kerala, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,73.85674,18.52043,"Pune, Maharashtra, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,74.53333,20.55,"Malegaon, Maharashtra, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,73.25,18.3,"Indapur, Maharashtra, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,73.781,20.001,"Nashik, Maharashtra, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,80.24963,13.06042,"Chennai, Tamil Nadu, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,100.41798,5.43949,"Sungai Dua, Butterworth, Penang, Malaysia",,Chikungunya,Chikungunya virus,point,,Malaysia,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,81.23333,8.56667,"Trincomalee, North Eastern, Sri Lanka",,Chikungunya,Chikungunya virus,point,,Sri Lanka,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,81.83472,7.40902,"Kalmunai, Eastern Province, Sri Lanka",,Chikungunya,Chikungunya virus,point,,Sri Lanka,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2002,80.00056,9.66777,"Jaffna, North Eastern, Sri Lanka",,Chikungunya,Chikungunya virus,point,,Sri Lanka,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,9.45059,0.38364,"Libreville, Estuaire Province, Gabon",,Chikungunya,Chikungunya virus,point,,Gabon,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,73.18758,22.30655,"Vadodara, Gujarat, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,76.64972,12.30722,"Mysore, Karnataka, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,76.91666,8.48333,"Thiruvananthapuram, Kerala, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,76.6,8.88333,"Kollam, Kerala, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,76.78333,9.26667,"Pathanamthitta, Kerala, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,76.96667,9.85,"Idukki, Kerala, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,75.81667,26.91667,"Jaipur, Rajasthan, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,88.41667,22.58333,"Salt Lake City, Kolkata West Bengal, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,88.7109,22.71005,"North 24 Parganas, West Bengal, India",,Chikungunya,Chikungunya virus,point,,India,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,12.20111,44.4175,"Ravenna, Emilia-Romagna, Italy",,Chikungunya,Chikungunya virus,point,,Italy,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,79.8283,8.0362,"Puttalam, North Western, Sri Lanka",,Chikungunya,Chikungunya virus,point,,Sri Lanka,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,79.9,8.98333,"Mannar, North Eastern, Sri Lanka",,Chikungunya,Chikungunya virus,point,,Sri Lanka,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,79.84778,6.93194,"Colombo, Colombo District, Western, Sri Lanka",,Chikungunya,Chikungunya virus,point,,Sri Lanka,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,81.70036,7.7079,"Batticaloa, Sri Lanka",,Chikungunya,Chikungunya virus,point,,Sri Lanka,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
2003,106.78917,-6.59444,"Bogor, West Java, Indonesia",,Chikungunya,Chikungunya virus,point,,Indonesia,Nsoesie2016,,Outbreak location,Not specified,Compiled from literature and surveillance reports (IHME),,GAUL
