"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","Admin_name","DiagnosticMetric","NumCases","IfPolygon_AdminLevel","ADMcode","ADMSource","Source","CasesMetric","SourceType"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Venezuela",2007,-66.8375928504079,10.5167241136623,"Chacao, Caracas","Positive in genetic test",NA,2,"GAUL2_32037","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Colombia",2008,-73.3156503258698,7.19713055253595,"Lebrija","Positive in genetic test",NA,2,"GAUL2_14253","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Colombia",2009,-73.1327692267063,7.13717133885592,"Bucaramanga","Positive in genetic test",NA,2,"GAUL2_14214","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Colombia",2009,-73.023798559888,6.95536071662114,"Piedecuesta","Positive in genetic test",NA,2,"GAUL2_14266","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Colombia",2010,-73.5224378120169,6.86816163984655,"San Vicente De Chucuri","Positive in genetic test",NA,2,"GAUL2_14279","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Colombia",2010,-73.3172453001724,7.06864367711272,"Girón","Positive in genetic test",NA,2,"GAUL2_14241","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",NA,-48.8690508661611,-1.74435272614621,"Abaetetuba","Positive in one serological test",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",NA,-44.039345673366,-22.9556870448943,"Mangaratiba","Positive in three independent serological tests, and genetic test",NA,2,"GAUL2_9934","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2007,-48.8690508661611,-1.74435272614621,"Abaetetuba","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2008,-48.8690508661611,-1.74435272614621,"Abaetetuba","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2009,-48.8690508661611,-1.74435272614621,"Abaetetuba","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
"Chagas disease (acute)","Trypanosoma cruzi","polygon","Brazil",2010,-48.8690508661611,-1.74435272614621,"Abaetetuba","Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",NA,2,"GAUL2_8724","GAUL","Browne2017","Outbreak location","Compiled from literature (IHME)"
