Location_ID,Author_Year,Ref_Number,Year_MAYV_Start,Year_MAYV_End,Host_Type,Location_Description,Adm0,Adm1,Adm2,GAUL_code,Finer_Res,Location_Type,Admin_Level,X_Coord,Y_Coord,Coord_Source,Uncertainty_km,Uncertainty_Description,Diagnostic_Test,Positive_n,Denominator,Qual_score,Language
ADM0_01,"Downs, 1958",CAB Direct Record Number: 19592702280 (article not available),1955,1955,Human,"The abstract reports that a single positive serum was found in Antigua and antibodies were found only in Trinidad and in British Guiana. The full article is not available. Therefore, we were unable to georeference this entry beyond the Adm0 level.",Trinidad,N/A,N/A,N/A,N/A,Administrative Polygon,0,N/A,N/A,N/A,N/A,N/A,Serology (unspecified),8% (N not reported),N/A,3,E
ADM0_01,"Aitken, 1969",PMID: 5807863,1953,1963,Arthropod,This article does not provide the location where collections occurred.,Trinidad,N/A,N/A,N/A,N/A,Administrative polygon,0,N/A,N/A,N/A,N/A,N/A,Viral culture,1 isolate,"1,482,686 mosquitoes",10,E
ADM0_02,"Downs, 1958",CAB Direct Record Number: 19592702280 (article not available),1955,1955,Human,"The abstract reports that about 30% of the population of the Rupununi Savannah region of British Guiana had MAYV antibody. The full article was not available. Because of the difficulty in georeferencing the savannah, we were unable to georeference this entry beyond the Adm0 level.",Guiana,N/A,N/A,N/A,Rupununi Savannah,Administrative Polygon,0,N/A,N/A,N/A,N/A,N/A,Serology (unspecified),30% (N not reported),N/A,3,E
ADM0_03,"Downs, 1958",CAB Direct Record Number: 19592702280 (article not available),1955,1955,Human,"The abstract reports that a single positive serum was found in Antigua and antibodies were found only in Trinidad and in British Guiana. The full article is not available. Therefore, we were unable to georeference this entry beyond the Adm0 level.",Antigua,N/A,N/A,N/A,N/A,Administrative Polygon,0,N/A,N/A,N/A,N/A,N/A,Serology (unspecified),1,N/A,3,E
ADM0_04,"Izurieta, 2011",PMID: 22223990,1997,1997,Human,"The article states that, ""The jungle garrison under study consisted of 348 subjects detached in one main post, three detachments and five outposts, all located in the Amazonian rainforest near the Peruvian border...Of 338 subjects studied, 174 were from the Coastal zone of Ecuador, 73 from Andean zone, and 91 were native to the Amazonian rainforest"". Because this information was vague, we were unable to georeference this entry beyond the Adm0 level.",Ecuador,N/A,N/A,N/A,N/A,Administrative Polygon,0,N/A,N/A,N/A,N/A,N/A,ELISA,48,338,10,E
ADM0_05,"Junt, 1999",PMID: 10694165,1998,1998,Human,"The article provides a vague description of the infected individual: ""a laboratory technician at the Institut Pasteur de la Guyane at Cayenne, French Guiana, contracted a febrile disease 6 days after the preparation of sucrose-acetone-extracted Mayaro viral antigen and 10 days after spending a weekend along a river in the rain forest.""  Therefore, we were unable to georeference this entry beyond the Adm0 level.",French Guiana,N/A,N/A,N/A,N/A,Administrative polygon,0,N/A,N/A,N/A,N/A,N/A,ELISA; RT-PCR,1 by ELISA and RT-PCR,N/A,8,E
ADM0_06,"Fischer, 2020",PMID: 32024703,2018,2018,Human,"Table 1 provides multiple regions in Peru where studies were carried out, but does not specify where MAYV was detected.  Therefore, we were unable to georeference this entry beyond the Adm0 level.",Peru,N/A,N/A,N/A,N/A,Administrative Polygon,0,N/A,N/A,N/A,N/A,N/A,ELISA; NT,37 MAYV-specific sera were tested by ELISA and PRNT,N/A,11,E
ADM0_07,Evans 1969,PMID: 4309897,1966,1966,Human,"The article states that, ""Blood samples were obtained on all military recruits inducted in 15 geographically separate induction stations throughout the country"". However, they do not specify where MAYV was detected. Therefore, we were unable to georeference this entry beyond the Adm0 level.",Colombia,N/A,N/A,N/A,N/A,Administrative Polygon,0,N/A,N/A,N/A,N/A,N/A,HI ,7,285,11,E
ADM0_08,"Taylor, 2005",PMID: 15898531,1999,1999,Human,"Patient diagnosed during a deployment to Bolivia. No further geographic information was provided. Therefore, we were unable to georeference this entry beyond the Adm0 level.",Bolivia,N/A,N/A,N/A,N/A,Administrative polygon,0,N/A,N/A,N/A,N/A,N/A,Serology (unspecified),1,N/A,6,E
ADM0_09,"Esposito, 2015",PMID: 26679574,1960,1960,Arthropod,"No geographic information provided. Therefore, we were unable to georeference this entry beyond the Adm0 level.",Brazil,N/A,N/A,N/A,N/A,Administrative polygon,0,N/A,N/A,N/A,N/A,N/A,Viral culture,1 isolate,N/A,3,E
